1981-10-27,1.369439552816015,1.3971608172726542,1.369439552816015,1.3860723972320557,3155664
1981-10-28,1.3860723972320557,1.3971608172726542,1.3805279728566138,1.3860723972320557,1704318
1981-10-29,1.3860724316111959,1.3860724316111959,1.3749836683273315,1.3749836683273315,1115672
1981-10-30,1.3749835347477757,1.3943886756896973,1.3694394537416577,1.3943886756896973,903240
1981-11-02,1.4359711373032784,1.4526040718433295,1.4359711373032784,1.447059988975525,2832963
1981-11-03,1.4470593791057915,1.4609200948861196,1.4415149556063906,1.4553756713867188,2124317
1981-11-04,1.4553758728194504,1.4609202970862327,1.4359707308539336,1.4387431144714355,762159
1981-11-05,1.4387432509148765,1.441515291827044,1.4193381071090698,1.4193381071090698,1289184
1981-11-06,1.4082500286283999,1.4082500286283999,1.3860728385183854,1.3916171789169312,5863762
1981-11-09,1.4248820864681062,1.4248820864681062,1.3916164892727054,1.4137933254241943,1382427
1981-11-10,1.4137935300982718,1.4359707124285062,1.4137935300982718,1.4248822927474976,1997831
1981-11-11,1.424882886345536,1.4304273128509521,1.4137941190767935,1.4304273128509521,476755
1981-11-12,1.4304267169431375,1.4359707124285062,1.4193379542939117,1.4248822927474976,844862
1981-11-13,1.4248820138743432,1.4248820138743432,1.4082492589950562,1.4082492589950562,869997
1981-11-16,1.4082492589950562,1.4082492589950562,1.3749833205262947,1.4082492589950562,1513778
1981-11-17,1.4193370769127729,1.4581469933867617,1.4193370769127729,1.452602744102478,895132
1981-11-18,1.4636924266815186,1.4969581168831565,1.4636924266815186,1.4636924266815186,1568913
1981-11-19,1.4636914645430548,1.4803242129684933,1.4636914645430548,1.4747799634933472,848105
1981-11-20,1.4747810520310465,1.4858697306499145,1.4636925448963136,1.469236969947815,717565
1981-11-23,1.4692369013376068,1.4747809831619416,1.397160922391096,1.4193381071090698,3297555
1981-11-24,1.4137933725930298,1.4137933725930298,1.391616535701648,1.4027049541473389,5314845
1981-11-25,1.419338023873237,1.4581479662406212,1.419338023873237,1.4415152072906494,1529994
1981-11-27,1.4415153591427126,1.469236969947815,1.4415153591427126,1.469236969947815,346215
1981-11-30,1.4692368512852259,1.4692368512852259,1.4581480020778115,1.4636924266815186,1332968
1981-12-01,1.4636924266815186,1.4636924266815186,1.4526037489582253,1.4636924266815186,317026
1981-12-02,1.4636915895923226,1.46923601102516,1.447058839745879,1.4581471681594849,531890
1981-12-03,1.4581480020778115,1.4636924266815186,1.4470596673227603,1.4636924266815186,778376
1981-12-04,1.4636914645430548,1.4858686339276477,1.4636914645430548,1.4747799634933472,449998
