1980-03-17,1.0343931984514922,1.057294901948887,1.0343931984514922,1.0382100343704224,62775
1980-03-18,1.0382102083798246,1.0534780460315238,1.0382102083798246,1.0458440780639648,64125
1980-03-19,1.0534785306736028,1.0649294387511057,1.0534785306736028,1.061112403869629,40500
1980-03-20,1.0611118719172628,1.0611118719172628,1.0496611661471096,1.0534780025482178,18900
1980-03-21,1.0534782810487935,1.0763798952102661,1.0534782810487935,1.0763798952102661,97200
1980-03-24,1.068746098664138,1.068746098664138,1.0496615171432495,1.0496615171432495,90450
1980-03-25,1.0496612094728721,1.0534780460315238,1.0420272415053133,1.0458440780639648,72225
1980-03-26,1.0458440348957583,1.0611118719172628,1.038210165526713,1.0534780025482178,31725
1980-03-27,1.0496612094728721,1.0496612094728721,1.0153085993274036,1.0458440780639648,62100
1980-03-28,1.0458440161113622,1.0458440161113622,1.0153085391836292,1.034393310546875,84375
1980-03-31,1.0458442537107344,1.0687459648928554,1.0458442537107344,1.0649291276931763,55350
1980-04-01,1.0649289048852,1.0840135783078126,1.0458440348957583,1.0534780025482178,126225
1980-04-02,1.0611116966263585,1.0916472673416138,1.0611116966263585,1.0916472673416138,58725
1980-04-03,1.1145495692693947,1.1450853556639955,1.1145495692693947,1.1336344480514526,311175
1980-04-07,1.133633670421171,1.160352403761233,1.1298166383130246,1.1412675380706787,115425
1980-04-08,1.133633626170724,1.133633626170724,1.1221827268600464,1.1221827268600464,218025
1980-04-09,1.114548985195685,1.114548985195685,1.0840135096534236,1.1069151163101196,181575
1980-04-10,1.1069151834340034,1.1374509556781938,1.1069151834340034,1.1298168897628784,191700
1980-04-11,1.1298168897628784,1.1527187926585818,1.1260000533720491,1.1298168897628784,112050
1980-04-14,1.12981712232511,1.12981712232511,1.118366414228773,1.1260002851486206,18900
1980-04-15,1.1183660596413352,1.1183660596413352,1.0992811918258667,1.0992811918258667,63450
1980-04-16,1.1069151222887752,1.1183661222457886,1.1069151222887752,1.1183661222457886,30375
1980-04-17,1.1107320928584672,1.1107320928584672,1.0954643558595376,1.0992811918258667,43875
1980-04-18,1.0992811354495782,1.1107320358949226,1.0916472673416138,1.0916472673416138,27675
1980-04-21,1.0878308388752973,1.0878308388752973,1.053478222960398,1.0649291276931763,83700
1980-04-22,1.064928783578275,1.0992811918258667,1.0534778825456748,1.0992811918258667,122850
1980-04-23,1.0992811918258667,1.0992811918258667,1.0725626520777398,1.0992811918258667,132300
1980-04-24,1.0992811354495782,1.0992811354495782,1.076379432842287,1.0916472673416138,209250
1980-04-25,1.0878308988578833,1.0878308988578833,1.0725630578001277,1.0763798952102661,21600
1980-04-28,1.0878304873600728,1.1069150603253315,1.0878304873600728,1.0992811918258667,141750
1980-04-29,1.0992817157620425,1.1069155878999393,1.0954648779765441,1.103098750114441,45225
1980-04-30,1.103098807116427,1.1183666504646275,1.0916479000344128,1.1145495176315308,85050
1980-05-01,1.118366702279342,1.141268320937508,1.118366702279342,1.1336344480514526,48600
1980-05-02,1.1336343093569607,1.1527191858040795,1.1260004374048715,1.1450852155685425,49950
1980-05-05,1.1603528142225754,1.2061561346054077,1.1603528142225754,1.2061561346054077,621675
1980-05-06,1.2061562180830954,1.229057929001245,1.187071442604065,1.187071442604065,143775
1980-05-07,1.1870713604472285,1.2214239735886365,1.1870713604472285,1.2061561346054077,483975
1980-05-08,1.2061556081090468,1.2176063103521497,1.1947047092991754,1.2023385763168335,36450
1980-05-09,1.1947046518325806,1.1947046518325806,1.1794368202482794,1.1947046518325806,24975
1980-05-12,1.194705002590061,1.194705002590061,1.1641694287397957,1.1908881664276123,27000
1980-05-13,1.190888476326618,1.2023391843605422,1.1794374734423925,1.187071442604065,40500
